iter	TotalF1:average=Macro	MultiClass
0	0.5243673576	3.293682678
1	0.559555746	3.16581918
2	0.5797491134	3.053148857
3	0.5893292307	2.94869118
4	0.6036147538	2.855404507
5	0.6169529132	2.771032728
6	0.6219389504	2.688903963
7	0.6311999751	2.610147684
8	0.6373632141	2.544151137
9	0.6361682949	2.482516027
10	0.6411673922	2.424960959
11	0.6430292708	2.371199937
12	0.6708934971	2.310677308
13	0.6703822214	2.262287202
14	0.6677965724	2.216675114
15	0.6727262888	2.170840212
16	0.6744969073	2.123690189
17	0.6901857101	2.071424627
18	0.6989596405	2.020380212
19	0.7058879064	1.972991092
20	0.7075561118	1.928767747
21	0.7080690134	1.886836617
22	0.7098795382	1.847745447
23	0.7131076349	1.810884902
24	0.7160010614	1.775624235
25	0.7228094042	1.73948045
26	0.7252700553	1.706485982
27	0.7271752949	1.67618175
28	0.7306365423	1.646867885
29	0.7314685348	1.6186104
30	0.735287141	1.590943312
31	0.7412555433	1.561397606
32	0.7476147213	1.531981448
33	0.7535433588	1.502733242
34	0.7603057169	1.477809396
35	0.7657687352	1.450962068
36	0.7705158194	1.427205743
37	0.7731453587	1.401301352
38	0.7765743184	1.376090625
39	0.7806289504	1.35301938
40	0.7816898123	1.331175121
41	0.789306098	1.296300088
42	0.7969058131	1.26197873
43	0.8093474224	1.227688343
44	0.8215641403	1.195244629
45	0.828839164	1.166560982
46	0.8372878054	1.13852401
47	0.8445014165	1.112541749
48	0.8479836175	1.087889829
49	0.8489518036	1.064362866
50	0.8569720845	1.041262686
51	0.8616132534	1.019883435
52	0.8652055735	0.9991124572
53	0.8659267745	0.9784102348
54	0.8690056295	0.9609451985
55	0.872720951	0.9414988978
56	0.8767542129	0.9257317848
57	0.8789657283	0.9081576418
58	0.8796019158	0.8917119965
59	0.8813636241	0.8759383353
60	0.8832405364	0.8604476613
61	0.8836605315	0.8479170265
62	0.8875043545	0.8335310468
63	0.890368017	0.8180246218
64	0.8948908851	0.8036041315
65	0.8997356603	0.7893546016
66	0.9035751254	0.7745192757
67	0.9075014152	0.7618133445
68	0.9098646357	0.7489230912
69	0.9105747455	0.737731823
70	0.9119300698	0.7260050205
71	0.9124276486	0.7149970126
72	0.9153007723	0.7055112777
73	0.9163702024	0.6963312274
74	0.9189261941	0.6872632924
75	0.9191304991	0.6789572461
76	0.9216161825	0.6694111618
77	0.9232556172	0.6602455795
78	0.9242200337	0.6509956672
79	0.925556914	0.6425478618
80	0.9275847338	0.6341936333
81	0.9289663007	0.6265483329
82	0.9303846745	0.6192428296
83	0.931309817	0.6113621932
84	0.9330627024	0.6032465748
85	0.9336958058	0.5958001972
86	0.9342108773	0.5890126189
87	0.9351947752	0.5826993848
88	0.9361560493	0.5759826417
89	0.9364802968	0.568647937
90	0.9367221485	0.5627101167
91	0.9378648046	0.5568930393
92	0.9385486435	0.5507016101
93	0.9393750262	0.545378256
94	0.9399395364	0.539922567
95	0.9408423441	0.5336374723
96	0.9410447925	0.5283118176
97	0.9412075017	0.5228768791
98	0.9426822535	0.5168143781
99	0.9433672169	0.5119694388
100	0.9446385764	0.5074796493
101	0.9451096839	0.5025842272
102	0.9446873389	0.4978849847
103	0.9450698804	0.4923312501
104	0.9461161527	0.4872979624
105	0.9467753869	0.4824269189
106	0.9478752148	0.4780891089
107	0.9485996985	0.4748676738
108	0.9498694904	0.4697651879
109	0.9504035702	0.4652431442
110	0.9512800951	0.4595009727
111	0.9518221286	0.4553857121
112	0.9527611501	0.4513746914
113	0.9531162148	0.4468725577
114	0.9542230541	0.4441290064
115	0.9547164609	0.4397150519
116	0.9554046732	0.4365801588
117	0.9561543824	0.4323253072
118	0.9567679956	0.4293007154
119	0.9568840582	0.4248425607
120	0.9568056662	0.420586072
121	0.9575718768	0.4175758154
122	0.9589186839	0.41134669
123	0.9592298201	0.4044564203
124	0.9605157022	0.3978746669
125	0.9621722141	0.3917750006
126	0.9638109396	0.3848250895
127	0.9631890248	0.3790139409
