iter	TotalF1:average=Weighted	MultiClass
0	0.5831245123	3.117360265
1	0.5827989423	2.846556163
2	0.5831889066	2.637444627
3	0.6890799274	2.426426742
4	0.717203045	2.26218472
5	0.7386752008	2.115862735
6	0.7705536293	1.984118541
7	0.7924198699	1.856775246
8	0.8091200034	1.747419687
9	0.833211986	1.651550036
10	0.8619882984	1.563036221
11	0.8825090254	1.485950847
12	0.8914691725	1.415285646
13	0.896721371	1.351961391
14	0.9143676438	1.294150325
15	0.9142918437	1.234473585
16	0.9176284424	1.17758991
17	0.9226519919	1.134947111
18	0.9271815293	1.0882486
19	0.9360195676	1.03615396
20	0.9409110215	0.9879187597
21	0.9505125526	0.9393068673
22	0.954453541	0.8959004127
23	0.9611618974	0.8553482416
24	0.9706260756	0.8181743036
25	0.9715189624	0.7850765545
26	0.9723212977	0.752896889
27	0.9753191998	0.7222996886
28	0.9766818875	0.694126306
29	0.9768759882	0.6677829548
30	0.9777113133	0.6426237293
31	0.9776920486	0.6197396854
32	0.9781368542	0.5975231944
33	0.9786877422	0.5766633534
34	0.9788765096	0.5569627505
35	0.9806918563	0.5408283131
36	0.9814928898	0.5230657717
37	0.9821357504	0.5065835972
38	0.9824489665	0.4906586362
39	0.9827515492	0.475551898
40	0.9826435897	0.4606035856
41	0.9826435897	0.4471117493
42	0.9839025147	0.4362262513
43	0.983391132	0.4267468682
44	0.983391132	0.414753872
45	0.9842656564	0.4038062929
46	0.9837385211	0.3928414441
47	0.9837659818	0.3834051144
48	0.9842931171	0.3732216052
49	0.9842931171	0.3645985003
50	0.9844833149	0.3561243073
51	0.9850991837	0.3483021556
52	0.9850991837	0.3412271834
53	0.9852256895	0.3341685846
54	0.9856881527	0.3289732811
55	0.9850644596	0.3232187304
56	0.9863843095	0.317994851
57	0.9869664521	0.3122699448
58	0.986998248	0.3034894137
59	0.9869750414	0.2978293464
60	0.9869664521	0.2915479163
61	0.9869671538	0.2858378324
62	0.9869886162	0.2787884717
63	0.9876523792	0.2731546018
64	0.9874441362	0.2676795885
65	0.9876523792	0.2641691789
66	0.98858991	0.2603992936
67	0.98858991	0.2558351768
68	0.9887475395	0.2523786443
69	0.9890117941	0.2483348748
70	0.9893367418	0.243228367
71	0.9893367418	0.2381828544
72	0.9893367418	0.2339930857
73	0.9897218069	0.2293178364
74	0.9900296839	0.2242171713
75	0.9900518527	0.220076316
76	0.9900518527	0.2173399727
77	0.9907215752	0.2140410905
78	0.9909080805	0.2109090964
79	0.9909080805	0.2078887519
80	0.9915546055	0.2047006056
81	0.9915546055	0.2019234667
82	0.9909312146	0.1977074488
83	0.9909312146	0.194395554
84	0.9915777397	0.1917092617
85	0.9919225788	0.1892481987
86	0.9919225788	0.1868369626
87	0.9919225788	0.1842441023
88	0.9920544092	0.1820467892
89	0.9919225788	0.1791893688
90	0.9919225788	0.1763861876
91	0.9920544092	0.174471859
92	0.9921675763	0.1717772248
93	0.9921675763	0.1697152597
94	0.9921675763	0.1668163542
95	0.9921675763	0.1653016749
96	0.9922002909	0.1628394917
97	0.9922180844	0.159773043
98	0.9924906863	0.1573050515
99	0.9933286904	0.1549857651
100	0.9937053615	0.1521812395
101	0.9944542806	0.1498193822
102	0.9949698424	0.1482517565
103	0.9951970898	0.1465989545
104	0.994676835	0.1454495748
105	0.9951970898	0.1435308254
106	0.9949679983	0.141716073
107	0.9951267436	0.1406644686
108	0.9951267436	0.1386724007
109	0.9953558351	0.1365089117
110	0.9951267436	0.1348223632
111	0.9953558351	0.1328468152
112	0.9953558351	0.1318273199
113	0.9953558351	0.1300734767
114	0.9953558351	0.1289105157
115	0.9958492044	0.1277640919
116	0.9958492044	0.1257900692
117	0.9958492044	0.1244002416
118	0.9958492044	0.1233923369
119	0.9958718878	0.1218888605
120	0.995913143	0.1204533166
121	0.995913143	0.1186801613
122	0.995913143	0.117885249
123	0.995913143	0.116723167
124	0.9960433486	0.1151556878
125	0.9960760623	0.1139229761
126	0.9960433486	0.1129847446
127	0.9960433486	0.1121833518
128	0.9960433486	0.1112677243
129	0.9960760623	0.1100955081
130	0.9960760623	0.1089737995
131	0.9963050372	0.1080391616
132	0.9963050372	0.106959998
133	0.9964408776	0.1057463915
134	0.9964408776	0.1043734199
135	0.9964408776	0.1030148224
136	0.9964408776	0.1020347267
137	0.9964408776	0.1009463854
138	0.9964408776	0.1002076684
139	0.9964408776	0.09926986782
140	0.9964408776	0.09858913856
141	0.9964408776	0.09766775448
142	0.9964408776	0.09678994094
143	0.9964408776	0.095703125
144	0.9964408776	0.09484152115
145	0.9964408776	0.09393952665
146	0.9964408776	0.09299190202
147	0.9964408776	0.09256995035
148	0.9964408776	0.09202124257
149	0.9964734278	0.09117030729
150	0.9964734278	0.09081200514
151	0.9964734278	0.09010834447
152	0.9966444459	0.08954716703
153	0.9966444459	0.08908375615
154	0.9966771539	0.08854788857
155	0.99694956	0.0874218195
156	0.9966771539	0.08666740123
157	0.9969837625	0.08598020016
158	0.9969837625	0.08549391819
159	0.9969837625	0.08516591549
160	0.9969837625	0.08466800839
161	0.9969837625	0.0839821689
162	0.9969837625	0.08305950942
163	0.9970207171	0.08210452537
164	0.9973178238	0.08177060238
165	0.9973178238	0.08134572936
166	0.9973178238	0.08096902004
167	0.9973178238	0.08053792512
168	0.9973178238	0.0802483741
169	0.9977051802	0.0796197554
170	0.9978165888	0.07916746983
171	0.9978165888	0.07865327548
172	0.9978489293	0.07799351282
173	0.9978489293	0.07747705205
174	0.9978858838	0.07650665974
175	0.9978858838	0.07647411111
176	0.9978858838	0.07584261413
177	0.9978858838	0.07538682981
178	0.9978858838	0.07469467363
179	0.9978858838	0.07435277937
180	0.9978858838	0.07392193436
181	0.998157121	0.07326307654
182	0.998157121	0.07273807574
183	0.998157121	0.07214306995
184	0.998157121	0.07153258697
185	0.998157121	0.07105095419
186	0.998157121	0.07043404679
187	0.998157121	0.07000618347
188	0.998157121	0.06965216426
189	0.998157121	0.06935534862
190	0.998157121	0.06871455758
191	0.998157121	0.06831211183
192	0.998157121	0.06791185064
193	0.9983426612	0.06765723103
194	0.9983426612	0.06723610234
195	0.9983426612	0.06704773045
196	0.9983426612	0.06660743625
197	0.9983426612	0.06658026068
198	0.9983426612	0.06655135728
199	0.9983426612	0.06613545086
200	0.9983426612	0.06610746955
201	0.9983426612	0.06548079842
202	0.9983426612	0.06518890773
203	0.9983426612	0.06459721972
204	0.9983426612	0.06457556802
205	0.9984051329	0.06455142154
206	0.9984051329	0.06435601338
207	0.9984467796	0.06416342318
208	0.9984884255	0.064145309
209	0.9984884255	0.06374110958
210	0.9986192556	0.06334320961
211	0.9986192556	0.06296479832
212	0.9986192556	0.06294313801
213	0.9986519627	0.06257485669
214	0.9986519627	0.06255775078
215	0.9986519627	0.06228579688
216	0.9986519627	0.06195958233
217	0.9986519627	0.06171537708
218	0.9986936079	0.06169656488
219	0.9986936079	0.06167803706
220	0.9987352526	0.06166098285
221	0.9987352526	0.06163264821
222	0.9987352526	0.06161615846
223	0.9987352526	0.06160036241
224	0.9987352526	0.06158543244
225	0.9987352526	0.06109971923
226	0.9987352526	0.06096199291
227	0.9988393626	0.06058607211
228	0.9988393626	0.06057180569
229	0.9988393626	0.06056105524
230	0.9988393626	0.06043555729
231	0.9988393626	0.06042233359
232	0.9988393626	0.06040103522
233	0.9990891426	0.06013865116
234	0.9990891426	0.06011522855
235	0.9990891426	0.06010594741
236	0.9990891426	0.06008949643
237	0.9990891426	0.06006987417
238	0.9990891426	0.06006157113
239	0.9990891426	0.06005378944
240	0.9990891426	0.0600461758
241	0.9990891426	0.06003900597
242	0.9990891426	0.0600318663
243	0.9990891426	0.05962103132
244	0.9990891426	0.05961441302
245	0.9990891426	0.05960799291
246	0.9990891426	0.0593177568
247	0.9990891426	0.05930867817
248	0.9990891426	0.05930279235
249	0.9990891426	0.05928217477
