iter	TotalF1:average=Macro	MultiClass
0	0.3881919456	3.34030159
1	0.4046619432	3.200052609
2	0.4433609209	3.07607877
3	0.43953149	2.979205432
4	0.4415870663	2.894269449
5	0.4645761012	2.801607633
6	0.4895624344	2.725986842
7	0.5113095409	2.656814305
8	0.5218107309	2.59263468
9	0.5262804029	2.527098009
10	0.5434276137	2.466558402
11	0.5532905601	2.408007986
12	0.5654246654	2.353044701
13	0.5689502362	2.303021166
14	0.5750181538	2.255571892
15	0.5793425271	2.209412519
16	0.5823294498	2.167436564
17	0.594424606	2.12365846
18	0.5954883682	2.085508456
19	0.6045555428	2.044090577
20	0.6056111705	2.010821898
21	0.6161963507	1.972666495
22	0.6216772779	1.935780087
23	0.6239927839	1.902711185
24	0.6315407391	1.871012482
25	0.6375666571	1.839537508
26	0.6409136673	1.810522993
27	0.6462064969	1.78080905
28	0.648532358	1.75559432
29	0.6507688787	1.727785392
30	0.6522619794	1.702397467
31	0.6685733773	1.665029267
32	0.6861961442	1.626538549
33	0.7006730106	1.588901764
34	0.7116343515	1.553923833
35	0.7242388896	1.522656527
36	0.7302164047	1.492024688
37	0.7382442252	1.463340089
38	0.7411799244	1.434142549
39	0.744895951	1.409673074
40	0.7504572966	1.385661439
41	0.7574115463	1.36330797
42	0.7594436378	1.339945092
43	0.762039944	1.31966402
44	0.7632317145	1.299480274
45	0.7659576402	1.277847554
46	0.7711824065	1.26020083
47	0.7758171944	1.24300613
48	0.7774306601	1.226550178
49	0.7815113331	1.206582685
50	0.7848027289	1.191427986
51	0.7878037146	1.175381003
52	0.7904271053	1.155343595
53	0.7974126621	1.137928628
54	0.7989336944	1.120657299
55	0.8018666904	1.102693741
56	0.8054950074	1.08594816
57	0.8097079286	1.070625803
58	0.8116935255	1.055328089
59	0.8128038033	1.040690969
60	0.8137352247	1.026417132
61	0.8164806549	1.013869922
62	0.8174213639	0.9994539003
63	0.8191262105	0.9860176602
64	0.8214284296	0.9729262887
65	0.8242859532	0.9611128417
66	0.8291680395	0.9490169652
67	0.8299263594	0.9374745952
68	0.8317985575	0.9254070308
69	0.8339609859	0.9143780873
70	0.8353627998	0.9022619977
71	0.8366388538	0.891077095
72	0.8370887426	0.8816379945
73	0.8400939178	0.8708489085
74	0.8427102	0.8616725091
75	0.8435088195	0.8533674187
76	0.8453494637	0.8438949528
77	0.8460000186	0.8357725418
78	0.8484467685	0.8266150402
79	0.8496757838	0.8201346663
80	0.8523470744	0.812535096
81	0.8549168939	0.8041592598
82	0.8548810661	0.7978479975
83	0.8578095897	0.7886183657
84	0.8584281308	0.7806440225
85	0.859344697	0.7721525147
86	0.8607896378	0.7640659611
87	0.8616145466	0.7571240087
88	0.863219321	0.74946373
89	0.8634754774	0.7420206035
90	0.8653579555	0.7349437356
91	0.8665361057	0.7293786273
92	0.8691466155	0.7222352361
93	0.8720855319	0.7152322983
94	0.8740581528	0.7087619617
95	0.8740984331	0.7040883063
96	0.8775178176	0.6978623959
97	0.8789336809	0.6915246212
98	0.8790952645	0.6866975678
99	0.8807119799	0.6828218451
100	0.882306994	0.677080426
101	0.8825174837	0.6731599853
102	0.883763449	0.6676978114
103	0.8858724607	0.6630652052
104	0.8866316252	0.6576091923
105	0.888905402	0.6522452458
106	0.8911461559	0.6471467692
107	0.8907969066	0.6421795394
108	0.8956281074	0.6323471835
109	0.8983829065	0.6230112252
