iter	Passed	Remaining
0	328	557525
1	459	390049
2	574	325234
3	688	291911
4	801	271808
5	914	258295
6	1044	252532
7	1177	248962
8	1296	243639
9	1412	238683
10	1532	235310
11	1651	232253
12	1766	229276
13	1885	227047
14	2006	225382
15	2123	223474
16	2243	222072
17	2358	220387
18	2478	219309
19	2590	217583
20	2708	216577
21	2820	215149
22	2932	213828
23	3044	212621
24	3159	211713
25	3269	210505
26	3386	209828
27	3497	208862
28	3628	209085
29	3741	208252
30	3847	207128
31	3958	206317
32	4065	205374
33	4169	204328
34	4273	203280
35	4376	202308
36	4485	201590
37	4594	200944
38	4703	200328
39	4825	200237
40	4940	199902
41	5048	199310
42	5156	198704
43	5273	198466
44	5385	198073
45	5492	197481
46	5611	197351
47	5724	197006
48	5834	196574
49	5946	196234
50	6057	195851
51	6173	195652
52	6289	195455
53	6406	195266
54	6527	195244
55	6644	195076
56	6759	194826
57	6875	194639
58	6997	194624
59	7104	194189
60	7245	194668
61	7367	194636
62	7482	194427
63	7590	194023
64	7709	193931
65	7820	193609
66	7939	193503
67	8057	193379
68	8157	192828
69	8260	192358
70	8364	191907
71	8476	191663
72	8584	191337
73	8693	191019
74	8796	190600
75	8908	190354
76	9001	189725
77	9129	189850
78	9233	189452
79	9332	188990
80	9425	188385
81	9532	188095
82	9631	187638
83	9724	187088
84	9817	186532
85	9918	186145
86	10020	185787
87	10142	185784
88	10258	185694
89	10371	185528
90	10483	185364
91	10579	184912
92	10670	184382
93	10762	183881
94	10861	183501
95	10959	183108
96	11078	183073
97	11168	182562
98	11266	182194
99	11369	181912
100	11458	181405
101	11558	181075
102	11656	180735
103	11754	180393
104	11851	180028
105	11950	179701
106	12063	179598
107	12165	179324
108	12257	178914
109	12348	178494
110	12448	178211
111	12559	178081
112	12663	177847
113	12754	177440
114	12860	177253
115	12949	176829
116	13052	176602
117	13146	176251
118	13272	176331
119	13382	176203
120	13500	176181
121	13623	176206
122	13732	176070
123	13853	176075
124	13968	176002
125	14077	175854
126	14189	175750
127	14303	175669
128	14414	175548
129	14533	175523
130	14639	175341
131	14759	175326
132	14878	175303
133	14985	175128
134	15098	175032
135	15220	175037
136	15328	174873
137	15460	174999
138	15566	174818
139	15657	174472
140	15773	174402
141	15891	174364
142	16008	174297
143	16138	174390
144	16268	174468
145	16384	174389
146	16491	174222
147	16588	173953
148	16703	173869
149	16793	173537
150	16896	173324
151	17007	173206
152	17108	172988
153	17220	172877
154	17346	172903
155	17449	172704
156	17572	172701
157	17687	172625
158	17795	172469
159	17895	172244
160	17990	171974
161	18091	171756
162	18182	171453
163	18271	171131
164	18391	171095
165	18512	171077
166	18627	170992
167	18717	170685
168	18821	170503
169	18909	170186
170	19005	169940
171	19126	169910
172	19217	169621
173	19310	169352
174	19395	169017
175	19475	168643
176	19564	168339
177	19646	167986
178	19748	167804
179	19837	167519
180	19927	167236
181	20029	167061
182	20125	166829
183	20224	166633
184	20313	166354
185	20406	166106
186	20502	165885
187	20585	165557
188	20669	165246
189	20750	164915
190	20837	164625
191	20948	164533
192	21063	164469
193	21144	164143
194	21232	163867
195	21335	163715
196	21435	163542
197	21519	163246
198	21623	163103
199	21710	162827
200	21809	162648
201	21892	162351
202	21990	162163
203	22094	162024
204	22173	161707
205	22279	161582
206	22354	161236
207	22426	160864
208	22504	160546
209	22608	160411
210	22729	160401
211	22839	160308
212	22918	160000
213	23015	159819
214	23107	159601
215	23208	159449
216	23299	159234
217	23374	158902
218	23448	158573
219	23535	158329
220	23624	158105
221	23724	157948
222	23819	157764
223	23922	157634
224	24000	157337
225	24082	157069
226	24174	156870
227	24259	156621
228	24345	156385
229	24429	156133
230	24506	155843
231	24591	155605
232	24684	155418
233	24779	155240
234	24886	155145
235	24968	154890
236	25054	154659
237	25133	154391
238	25227	154215
239	25319	154025
240	25430	153954
241	25509	153686
242	25597	153477
243	25683	153260
244	25768	153031
245	25874	152934
246	25968	152763
247	26054	152542
248	26143	152345
249	26225	152106
250	26310	151885
251	26412	151767
252	26516	151657
253	26602	151447
254	26690	151246
255	26787	151100
256	26886	150963
257	26974	150761
258	27071	150620
259	27161	150432
260	27236	150166
261	27339	150052
262	27418	149811
263	27504	149608
264	27615	149542
265	27706	149366
266	27788	149143
267	27870	148919
268	27973	148809
269	28059	148613
270	28134	148353
271	28211	148111
272	28299	147923
273	28388	147743
274	28472	147537
275	28554	147323
276	28635	147104
277	28718	146899
278	28798	146677
279	28889	146509
280	28983	146360
281	29083	146241
282	29173	146073
283	29255	145864
284	29351	145729
285	29428	145494
286	29517	145325
287	29604	145143
288	29695	144985
289	29787	144831
290	29874	144649
291	29953	144433
292	30037	144241
293	30125	144067
294	30226	143961
295	30308	143758
296	30387	143547
297	30463	143323
298	30562	143203
299	30669	143123
300	30749	142917
301	30839	142760
302	30925	142581
303	31001	142361
304	31106	142274
305	31183	142056
306	31279	141931
307	31362	141743
308	31440	141532
309	31533	141390
310	31632	141278
311	31717	141101
312	31813	140974
313	31888	140754
314	31988	140649
315	32072	140469
316	32155	140287
317	32240	140113
318	32318	139913
319	32395	139703
320	32485	139558
321	32584	139443
322	32700	139406
323	32793	139271
324	32909	139231
325	32985	139026
326	33068	138846
327	33180	138791
328	33276	138670
329	33385	138599
330	33486	138498
331	33575	138345
332	33672	138228
333	33773	138126
334	33885	138068
335	33976	137927
336	34074	137813
337	34162	137662
338	34250	137508
339	34322	137289
340	34407	137124
341	34491	136958
342	34585	136831
343	34666	136649
344	34753	136494
345	34844	136357
346	34922	136166
347	35016	136040
348	35105	135894
349	35192	135742
350	35273	135567
351	35365	135432
352	35450	135274
353	35540	135135
354	35621	134959
355	35709	134812
356	35789	134637
357	35871	134467
358	35942	134260
359	36036	134137
360	36136	134033
361	36207	133826
362	36282	133636
363	36363	133466
364	36445	133298
365	36532	133155
366	36615	132991
367	36695	132822
368	36781	132671
369	36877	132559
370	36958	132394
371	37048	132258
372	37132	132104
373	37220	131962
374	37325	131882
375	37425	131784
376	37507	131623
377	37605	131519
378	37703	131414
379	37784	131251
380	37874	131118
381	37957	130963
382	38029	130768
383	38108	130599
384	38189	130438
385	38273	130288
386	38354	130128
387	38427	129940
388	38508	129781
389	38593	129634
390	38697	129551
391	38780	129401
392	38872	129276
393	38964	129155
394	39055	129030
395	39128	128848
396	39212	128701
