iter	TotalF1:average=Weighted	MultiClass
0	0.410118765	3.204817357
1	0.5447731873	2.972370215
2	0.6099070171	2.742100221
3	0.611358018	2.583556425
4	0.6680823909	2.428342742
5	0.6934828368	2.303511233
6	0.7622399266	2.173661806
7	0.7965321887	2.047227976
8	0.7980169776	1.942490894
9	0.816084277	1.85900341
10	0.8298975974	1.788026459
11	0.8374682337	1.712749538
12	0.8354730892	1.648734497
13	0.859194983	1.58179761
14	0.8593715825	1.530093726
15	0.8665009336	1.483628924
16	0.8768640593	1.423504483
17	0.8768640593	1.38329343
18	0.8768640593	1.341573266
19	0.8718084047	1.292584268
20	0.8697617958	1.25471196
21	0.894226025	1.211915355
22	0.8881570194	1.173247196
23	0.8931652528	1.140654093
24	0.9009882772	1.106213172
25	0.9009882772	1.074806401
26	0.9009882772	1.04518678
27	0.9011134092	1.017054968
28	0.9011134092	0.990626889
29	0.8949717802	0.9685202206
30	0.9011134092	0.9423887931
31	0.9011134768	0.9195411499
32	0.9011134768	0.9006500144
33	0.9009883447	0.8806548624
34	0.9055680196	0.8635683191
35	0.9055680196	0.8475338113
36	0.9055680196	0.8332102742
37	0.9055680196	0.8152299145
38	0.9055680196	0.8016272905
39	0.9055680196	0.7879426959
40	0.9055680196	0.7756473947
41	0.9055680196	0.7608349989
42	0.9055680196	0.7487922276
43	0.9055680196	0.7351865012
44	0.899539117	0.7243734943
45	0.9077453225	0.7140647199
46	0.9155733164	0.7021328052
47	0.918097713	0.6881043343
48	0.918097713	0.6781901076
49	0.918097713	0.6669510471
50	0.9305676246	0.6533922004
51	0.9305117253	0.6447879163
52	0.9305239149	0.6362793908
53	0.9381053463	0.6260414874
54	0.9381125198	0.6184737959
55	0.943161001	0.6068013741
56	0.943161001	0.5992764947
57	0.943161001	0.5865396972
58	0.9444666637	0.5746948546
59	0.9444606109	0.5653904085
60	0.9444606109	0.5567654766
61	0.9444606109	0.5509537397
62	0.9444606109	0.5446909925
63	0.9457503684	0.5352410126
64	0.9457503684	0.527361778
65	0.9525240355	0.5188534938
66	0.9525240355	0.5110490599
67	0.9525240355	0.5018544364
68	0.9525240355	0.4938550381
69	0.9524978478	0.488725504
70	0.9524978478	0.4808544733
