iter	Passed	Remaining
0	197	68801
1	315	54878
2	356	41223
3	398	34427
4	439	30341
5	481	27598
6	511	25050
7	539	23083
8	568	21541
9	598	20356
10	628	19372
11	657	18516
12	686	17799
13	717	17215
14	747	16693
15	777	16231
16	806	15803
17	836	15436
18	866	15089
19	898	14818
20	928	14548
21	957	14273
22	986	14025
23	1016	13806
24	1045	13589
25	1074	13396
26	1104	13208
27	1133	13033
28	1163	12876
29	1193	12731
30	1222	12582
31	1252	12442
32	1281	12309
33	1310	12181
34	1338	12046
35	1367	11931
36	1396	11811
37	1425	11701
38	1453	11594
39	1483	11493
40	1510	11387
41	1540	11297
42	1569	11206
43	1599	11121
44	1627	11034
45	1657	10953
46	1686	10873
47	1716	10802
48	1749	10749
49	1777	10667
50	1808	10603
51	1842	10556
52	1875	10508
53	1907	10454
54	1938	10398
55	1969	10338
56	2000	10281
57	2029	10215
58	2057	10146
59	2086	10086
60	2116	10027
61	2144	9961
62	2174	9905
63	2203	9847
64	2233	9794
65	2263	9737
66	2291	9679
67	2319	9617
68	2347	9560
69	2376	9504
70	2405	9451
71	2434	9399
72	2462	9343
73	2490	9287
74	2518	9234
75	2546	9181
76	2574	9127
77	2603	9079
78	2632	9030
79	2661	8983
80	2690	8935
81	2719	8887
82	2747	8839
83	2777	8794
84	2806	8751
85	2836	8706
86	2863	8656
87	2892	8612
88	2920	8565
89	2948	8518
90	2977	8474
91	3005	8429
92	3034	8385
93	3062	8340
94	3090	8296
95	3119	8253
96	3147	8210
97	3175	8166
98	3210	8140
99	3240	8101
100	3269	8060
101	3298	8020
102	3328	7981
103	3356	7940
104	3385	7900
105	3415	7861
106	3443	7820
107	3472	7781
108	3501	7742
109	3530	7702
110	3559	7664
111	3588	7624
112	3616	7585
113	3645	7546
114	3675	7511
115	3704	7473
116	3734	7436
117	3763	7400
118	3794	7365
119	3823	7327
120	3852	7292
121	3883	7257
122	3912	7221
123	3941	7184
124	3970	7147
125	4000	7112
126	4029	7075
127	4058	7039
128	4087	7002
129	4116	6965
130	4144	6928
131	4173	6891
132	4202	6855
133	4232	6822
134	4260	6785
135	4289	6749
136	4317	6711
137	4345	6675
138	4374	6640
139	4403	6604
140	4432	6570
141	4460	6534
142	4489	6498
143	4517	6463
144	4546	6428
145	4576	6394
146	4605	6360
147	4634	6325
148	4663	6291
149	4693	6257
150	4722	6223
151	4751	6189
152	4780	6155
153	4811	6123
154	4842	6091
155	4872	6059
156	4902	6026
157	4933	5994
158	4963	5962
159	4993	5929
160	5026	5900
161	5058	5870
162	5091	5840
163	5122	5810
164	5154	5779
165	5187	5749
166	5215	5714
167	5244	5682
168	5273	5648
169	5302	5614
170	5330	5579
171	5359	5546
172	5387	5512
173	5416	5479
174	5444	5444
175	5473	5411
176	5502	5378
177	5531	5344
178	5560	5311
179	5587	5277
180	5616	5243
181	5643	5209
182	5673	5177
183	5701	5143
184	5731	5111
185	5760	5078
186	5789	5046
187	5819	5014
188	5849	4982
189	5878	4950
190	5907	4917
191	5935	4884
192	5963	4850
193	5990	4816
194	6018	4784
195	6046	4750
196	6075	4718
197	6103	4685
198	6131	4652
199	6159	4619
200	6188	4587
201	6218	4556
202	6246	4523
203	6275	4491
204	6300	4456
205	6329	4424
206	6358	4392
207	6387	4360
208	6414	4327
209	6443	4295
210	6472	4263
211	6499	4231
212	6529	4199
213	6557	4167
214	6585	4134
215	6613	4102
216	6642	4071
217	6670	4038
218	6699	4007
219	6726	3975
220	6751	3940
221	6779	3909
222	6807	3876
223	6837	3846
224	6866	3814
225	6895	3783
226	6925	3752
227	6956	3722
228	6987	3692
229	7011	3658
230	7041	3627
231	7069	3595
232	7097	3563
233	7125	3532
234	7153	3500
235	7181	3469
236	7210	3437
237	7239	3406
238	7266	3374
239	7294	3343
240	7325	3313
241	7353	3281
242	7381	3250
243	7410	3219
244	7439	3188
245	7463	3155
246	7492	3124
247	7520	3092
248	7549	3062
249	7573	3029
250	7601	2998
251	7629	2967
252	7657	2935
253	7684	2904
254	7712	2873
255	7737	2841
256	7763	2809
257	7790	2778
258	7815	2745
259	7843	2715
260	7871	2684
261	7899	2653
262	7927	2622
263	7955	2591
264	7983	2560
265	8007	2528
266	8031	2496
267	8055	2464
268	8079	2432
269	8107	2402
270	8136	2371
271	8160	2340
272	8187	2309
273	8215	2278
274	8239	2247
275	8268	2216
276	8296	2186
277	8326	2156
278	8353	2125
279	8377	2094
280	8406	2064
281	8430	2032
282	8458	2002
283	8482	1971
284	8510	1940
285	8534	1909
286	8558	1878
287	8582	1847
288	8611	1817
289	8635	1786
290	8659	1755
291	8688	1725
292	8713	1695
293	8741	1665
294	8765	1634
295	8789	1603
296	8814	1572
297	8838	1542
298	8867	1512
299	8891	1481
300	8920	1452
301	8945	1421
302	8970	1391
303	8996	1361
304	9023	1331
305	9051	1301
306	9075	1271
307	9099	1240
308	9124	1210
309	9147	1180
310	9177	1150
311	9201	1120
312	9229	1091
313	9257	1061
314	9284	1031
315	9308	1001
316	9333	971
317	9362	942
318	9390	912
319	9418	882
320	9445	853
321	9474	823
322	9498	794
323	9525	764
324	9553	734
325	9577	705
326	9601	675
327	9625	645
328	9649	615
329	9673	586
330	9701	556
331	9725	527
332	9750	497
333	9775	468
334	9804	439
335	9834	409
336	9860	380
337	9885	350
338	9910	321
339	9941	292
340	9967	263
341	9998	233
342	10025	204
343	10051	175
344	10082	146
345	10109	116
346	10135	87
347	10159	58
348	10184	29
349	10208	0
