iter	Passed	Remaining
0	58	117109
1	116	116512
2	174	116262
3	231	115526
4	286	114225
5	340	113232
6	392	111845
7	448	111564
8	502	111067
9	554	110368
10	605	109417
11	659	109200
12	709	108427
13	759	107700
14	814	107788
15	869	107861
16	919	107204
17	971	106972
18	1024	106797
19	1083	107227
20	1141	107599
21	1194	107388
22	1251	107545
23	1305	107461
24	1356	107136
25	1415	107495
26	1472	107625
27	1531	107836
28	1582	107536
29	1636	107488
30	1682	106867
31	1742	107180
32	1798	107173
33	1850	107012
34	1895	106399
35	1954	106640
36	2012	106781
37	2070	106884
38	2123	106772
39	2167	106204
40	2213	105740
41	2270	105865
42	2311	105213
43	2363	105064
44	2414	104875
45	2466	104762
46	2507	104188
47	2560	104128
48	2616	104166
49	2663	103882
50	2718	103895
51	2769	103733
52	2817	103519
53	2871	103479
54	2912	103014
55	2968	103042
56	3014	102771
57	3069	102785
58	3115	102481
59	3163	102290
60	3209	102031
61	3260	101910
62	3311	101802
63	3366	101838
64	3418	101753
65	3464	101510
66	3510	101274
67	3548	100820
68	3589	100445
69	3630	100110
70	3674	99828
71	3727	99813
72	3774	99639
73	3827	99617
74	3878	99560
75	3926	99401
76	3981	99435
77	4033	99391
78	4089	99444
79	4134	99223
80	4186	99194
81	4237	99125
82	4290	99088
83	4341	99031
84	4388	98864
85	4441	98847
86	4491	98761
87	4540	98659
88	4592	98616
89	4636	98393
90	4681	98198
91	4726	98016
92	4770	97825
93	4823	97807
94	4874	97748
95	4915	97498
96	4957	97265
97	5001	97077
98	5050	96971
99	5099	96883
100	5149	96820
101	5197	96713
102	5245	96602
103	5288	96419
104	5335	96295
105	5385	96232
106	5436	96183
107	5485	96098
108	5530	95939
109	5571	95723
110	5624	95713
111	5669	95574
112	5720	95524
113	5766	95392
114	5811	95262
115	5859	95167
116	5905	95038
117	5952	94930
118	5991	94698
119	6030	94484
120	6076	94356
121	6121	94224
122	6171	94181
123	6216	94045
124	6260	93914
125	6306	93793
126	6354	93715
127	6400	93610
128	6452	93588
129	6498	93474
130	6545	93391
131	6594	93324
132	6648	93330
133	6693	93203
134	6732	93007
135	6781	92947
136	6832	92912
137	6870	92700
138	6915	92588
139	6956	92427
